id	image_path	expected_text_path	expected_markdown_path	source_id	language	script	document_kind	layout_kind	provider_required	notes
selfgen_single_paragraph	images/selfgen_single_paragraph.png	expected_text/selfgen_single_paragraph.txt	expected_markdown/selfgen_single_paragraph.md	self-generated-ocr-seed	en	Latin	synthetic	paragraph	false	self-generated OCR layout seed; provider outputs optional/local
selfgen_heading_paragraph	images/selfgen_heading_paragraph.png	expected_text/selfgen_heading_paragraph.txt	expected_markdown/selfgen_heading_paragraph.md	self-generated-ocr-seed	en	Latin	synthetic	heading_paragraph	false	self-generated OCR layout seed; provider outputs optional/local
selfgen_bullet_list	images/selfgen_bullet_list.png	expected_text/selfgen_bullet_list.txt	expected_markdown/selfgen_bullet_list.md	self-generated-ocr-seed	en	Latin	synthetic	bullet_list	false	self-generated OCR layout seed; provider outputs optional/local
selfgen_noise_page	images/selfgen_noise_page.png	expected_text/selfgen_noise_page.txt	expected_markdown/selfgen_noise_page.md	self-generated-ocr-seed	en	Latin	synthetic	noise	false	self-generated OCR layout seed; provider outputs optional/local
selfgen_paragraph_merge	images/selfgen_paragraph_merge.png	expected_text/selfgen_paragraph_merge.txt	expected_markdown/selfgen_paragraph_merge.md	self-generated-ocr-seed	en	Latin	synthetic	paragraph_merge	false	self-generated OCR layout seed; provider outputs optional/local
selfgen_table_like_columns	images/selfgen_table_like_columns.png	expected_text/selfgen_table_like_columns.txt	expected_markdown/selfgen_table_like_columns.md	self-generated-ocr-seed	en	Latin	synthetic	table_like_columns	false	self-generated targeted OCR layout seed; future table-like evaluation; current preview records baseline paragraph/heading behavior
selfgen_two_column_order	images/selfgen_two_column_order.png	expected_text/selfgen_two_column_order.txt	expected_markdown/selfgen_two_column_order.md	self-generated-ocr-seed	en	Latin	synthetic	two_column_order	false	self-generated targeted OCR layout seed; future multi-column reading-order evaluation; current preview records baseline merged order
selfgen_repeated_header_footer	images/selfgen_repeated_header_footer.png	expected_text/selfgen_repeated_header_footer.txt	expected_markdown/selfgen_repeated_header_footer.md	self-generated-ocr-seed	en	Latin	synthetic	repeated_header_footer	false	self-generated targeted OCR layout seed; future repeated header/footer evaluation; current preview records baseline heading-plus-noise behavior
selfgen_caption_like	images/selfgen_caption_like.png	expected_text/selfgen_caption_like.txt	expected_markdown/selfgen_caption_like.md	self-generated-ocr-seed	en	Latin	synthetic	caption_like	false	self-generated targeted OCR layout seed; future caption evaluation; current preview records baseline paragraph behavior
selfgen_key_value_receipt	images/selfgen_key_value_receipt.png	expected_text/selfgen_key_value_receipt.txt	expected_markdown/selfgen_key_value_receipt.md	self-generated-ocr-seed	en	Latin	synthetic	key_value_receipt	false	self-generated targeted OCR layout seed; future key-value receipt evaluation; current preview records baseline paragraph behavior
selfgen_clear_two_column_order	images/selfgen_clear_two_column_order.png	expected_text/selfgen_clear_two_column_order.txt	expected_markdown/selfgen_clear_two_column_order.md	self-generated-ocr-seed	en	Latin	synthetic	clear_two_column	false	self-generated clear two-column layout seed; tuned to produce separate tesseract TSV line signals
