dataset_id	source_label	target_task	target_label	mapping_confidence	mapping_notes
doclaynet	Title	convert_block_classification	heading	high	Page title or major heading.
doclaynet	Section-header	convert_block_classification	heading	high	Section-level heading.
doclaynet	Text	convert_block_classification	paragraph	high	Primary running text blocks.
doclaynet	List-item	convert_block_classification	list_item	high	Bulleted or numbered list blocks.
doclaynet	Caption	convert_block_classification	caption	high	Figure/table caption blocks.
doclaynet	Page-header	convert_block_classification	footer_header_noise	high	Repetitive top margin noise.
doclaynet	Page-footer	convert_block_classification	footer_header_noise	high	Repetitive bottom margin noise.
doclaynet	Table	convert_block_classification	table_like	high	Table regions.
doclaynet	Footnote	convert_block_classification	keep_as_text	medium	Usable text but often outside main narrative flow.
doclaynet	Formula	convert_block_classification	uncertain	medium	Math blocks are not first-class Task A labels yet.
doclaynet	Picture	convert_block_classification	uncertain	low	Non-text region; keep as context, not direct target.
publaynet	title	convert_block_classification	heading	high	Page or article title blocks.
publaynet	text	convert_block_classification	paragraph	high	Main text regions.
publaynet	list	convert_block_classification	list_item	high	List regions.
publaynet	table	convert_block_classification	table_like	high	Table regions.
publaynet	figure	convert_block_classification	uncertain	low	Figure box is not a caption; use as context/negative only.
pubtables_1m	table	convert_block_classification	table_like	high	Primary reliable mapping from detection subset.
docbank	Title	convert_block_classification	heading	high	Token-level title tags aggregate to heading blocks.
docbank	Section	convert_block_classification	heading	high	Section headers map cleanly to heading.
docbank	Paragraph	convert_block_classification	paragraph	high	Main body text.
docbank	List	convert_block_classification	list_item	high	List tokens aggregate cleanly.
docbank	Caption	convert_block_classification	caption	high	Captions map directly.
docbank	Table	convert_block_classification	table_like	high	Table tokens or regions map directly.
docbank	Footer	convert_block_classification	footer_header_noise	medium	Footer tokens often correspond to page noise.
docbank	Abstract	convert_block_classification	keep_as_text	medium	Useful text but not a primary Task A semantic class.
docbank	Reference	convert_block_classification	keep_as_text	medium	Bibliography text; not a primary Task A semantic class.
docbank	Equation	convert_block_classification	uncertain	medium	Equation blocks are out of current Task A label space.
tablebank	table	convert_block_classification	table_like	high	Only reliable Task A mapping in TableBank.
funsd	header	convert_block_classification	heading	medium	Form header or title-like content.
funsd	question	convert_block_classification	form_row	medium	Key side of key-value form rows.
funsd	answer	convert_block_classification	form_row	medium	Value side of key-value form rows.
funsd	other	convert_block_classification	keep_as_text	low	Catch-all bucket; use carefully.
cord	menu.*	convert_block_classification	form_row	low	Receipt line items behave like row groups, but domain is receipt-specific.
cord	sub_total|total|tax	convert_block_classification	form_row	low	Summary rows are structurally similar to form rows.
