sample_id	source_id	relative_path	sha256	task	layer	model_target	document_kind	pdf_signal	candidate_labels	label_status	recommended_split	notes
task_a_seed_irs_fw4_01	irs_fw4_2026	datasets/task_a_seed/irs/pdf_task_a_irs_fw4_01.pdf	92444d8856ce55d9e25dca8b6d1420634fc68b11e1ab1f760916ea29ddd312b2	convert_block_classification	convert/pdf	convert_block_classifier	blank_form	born_digital_text;form_key_value;single_column;page_number_noise	form_row;heading;paragraph;separator;footer_header_noise;keep_as_text	needs_manual_label	train	English withholding form; strongest new form-row seed in this batch
task_a_seed_irs_pub1_02	irs_pub1_rev2017	datasets/task_a_seed/irs/pdf_task_a_irs_pub1_02.pdf	b76c98a904265a8a25b0fd1a6cfebfe03dd29c1da4c661f2808515ae01c440ac	convert_block_classification	convert/pdf	convert_block_classifier	pamphlet	born_digital_text;short_brochure;heading_heavy;list_heavy	paragraph;heading;list_item;footer_header_noise	needs_manual_label	heldout	short brochure-style control sample with compact headings and bullets
task_a_seed_irs_fw4sp_03	irs_fw4sp_2026	datasets/task_a_seed/irs/pdf_task_a_irs_fw4sp_03.pdf	ecf4480b92488a14a5cee7b8083916ae0a786e0c8cef89c624cb6ff113914c6e	convert_block_classification	convert/pdf	convert_block_classifier	blank_form	born_digital_text;form_key_value;single_column;multilingual	form_row;heading;paragraph;separator;footer_header_noise;keep_as_text	needs_manual_label	train	Spanish form seed to reduce English-only overfit in form and header cues
task_a_seed_irs_fw9_04	irs_fw9_2024	datasets/task_a_seed/irs/pdf_task_a_irs_fw9_04.pdf	2d420cbb4123dcf1fb82595b2359cfbb5d81f00b9df9d359fcc7af361d093f53	convert_block_classification	convert/pdf	convert_block_classifier	blank_form	born_digital_text;form_key_value;single_column;dense_boxes	form_row;heading;paragraph;separator;footer_header_noise;keep_as_text	needs_manual_label	train	Complementary tax form with denser key-value sections than W-4
task_a_seed_nist_sp800122_01	nist_sp800122	datasets/task_a_seed/nist/pdf_task_a_nist_sp800122_01.pdf	555b9df82af12de4ca887efc21c0a9e159a14485d5d570f44b32ef15c6c62470	convert_block_classification	convert/pdf	convert_block_classifier	technical_report	born_digital_text;dense_paragraph;toc_links;figure_table_refs	paragraph;heading;footer_header_noise;caption;table_like;list_item;link_text	needs_manual_label	train	dense public-domain report with richer paragraph and caption opportunities than current active Task A rows
task_a_seed_nist_sp80061r2_02	nist_sp80061r2	datasets/task_a_seed/nist/pdf_task_a_nist_sp80061r2_02.pdf	b1c5ead0632dcfb979c59d8c462b094ad2465ddaf62d5c246289d6d9b4419df1	convert_block_classification	convert/pdf	convert_block_classifier	technical_report	born_digital_text;dense_paragraph;list_heavy;table_rich	paragraph;heading;footer_header_noise;table_like;list_item;link_text;caption	needs_manual_label	heldout	longer technical report candidate for later held-out style diversity
task_a_seed_commons_what_is_cc_01	commons_what_is_cc	datasets/task_a_seed/commons/pdf_task_a_commons_what_is_cc_01.pdf	2038698287d356f0a2ea4dc2649404defd51a728936b8488bda5857863eb1bcd	convert_block_classification	convert/pdf	convert_block_classifier	brochure	born_digital_text;brochure;heading_heavy;link_visible	paragraph;heading;list_item;link_text;caption;footer_header_noise	needs_manual_label	train	Non-government rights-clean brochure to reduce source-style overfit
task_a_seed_commons_cc_flyer_02	commons_cc_flyer_eng	datasets/task_a_seed/commons/pdf_task_a_commons_cc_flyer_02.pdf	b086665f1b36fc12256a1f8ade6bbe79d3649e5e811faa180791f3db474468ec	convert_block_classification	convert/pdf	convert_block_classifier	flyer	born_digital_text;short_flyer;heading_heavy;list_heavy	paragraph;heading;list_item;link_text;separator	needs_manual_label	train	Very small two-page flyer with crisp heading and separator patterns
task_a_seed_commons_free_knowledge_03	commons_free_knowledge_cc	datasets/task_a_seed/commons/pdf_task_a_commons_free_knowledge_03.pdf	f30d23e44e0c304d6a5985796eac0146a868ca4327b356f1ed5cd37730934727	convert_block_classification	convert/pdf	convert_block_classifier	guide	born_digital_text;mixed_layout;list_heavy;table_like_possible	paragraph;heading;list_item;table_like;caption;link_text;footer_header_noise	needs_manual_label	heldout	Multi-page CC guide with more varied block shapes than the shorter flyers
existing_label_nist_fips197	nist_fips197_existing	datasets/public_gov/fips197.pdf	89c6da9e6cb81ffb7c115752b789ff3dc205acb2b13d6a36ff55acc79e87f61e	convert_block_classification	convert/pdf	convert_block_classifier	technical_standard	born_digital_text;toc_links;caption_rich;link_visible	caption;link_text;paragraph	ready_existing_label	heldout	existing manual label file fips197_public_pdf.tsv; useful public-domain control sample
existing_label_nist_fips202	nist_fips202_existing	datasets/public_docs/NIST.FIPS.202.pdf	1592607831ff0908cc590632ce371c6c95e94025bb1a0c8ae90a4d0ec1ed025e	convert_block_classification	convert/pdf	convert_block_classifier	technical_standard	born_digital_text;caption_rich;link_visible;dense_paragraph	caption;link_text;paragraph	ready_existing_label	heldout	existing manual label file fips202_public_pdf.tsv; useful caption and link-text control
existing_label_nist_sp80038a	nist_sp80038a_existing	datasets/public_docs/NIST.SP.800-38A.pdf	66821162de1e7130c5fb5eedb22140d8d6d013ec51af4550bb095c2a9481a00e	convert_block_classification	convert/pdf	convert_block_classifier	technical_report	born_digital_text;toc_links;link_visible	link_text;paragraph	ready_existing_label	train	existing manual label file sp800_38a_public_pdf.tsv; compact public-domain link-text negative set
metadata_cdc_11337	cdc_11337_metadata			convert_block_classification	convert/pdf	convert_block_classifier	public_health_report	fetch_blocked;likely_born_digital_text	paragraph;heading;list_item;footer_header_noise;caption	metadata_only	review	CDC public-domain candidate with acceptable rights posture but blocked direct fetch in this environment
metadata_cdc_6647	cdc_6647_metadata			convert_block_classification	convert/pdf	convert_block_classifier	public_health_report	fetch_blocked;likely_born_digital_text	paragraph;heading;list_item;footer_header_noise	metadata_only	review	CDC public-domain candidate with acceptable rights posture but blocked direct fetch in this environment
